N_total,error,log10_error
9010549,2.8774845654803154E-5,-4.540986997201109
9020549,4.7056544245003446E-5,-4.3273799698593844
9030548,8.06739811504579E-5,-4.093266510690443
9040548,2.6389885689913334E-4,-3.5785624909602225
9050547,2.581507320259849E-4,-3.5881266391064153
9060547,5.9298068298979266E-5,-4.226959454034698
9070546,1.414699577009603E-4,-3.8493357763230036
9080546,1.2224733680233304E-4,-3.912760593346669
9090545,2.825536130917931E-4,-3.548899134886006
9100545,2.1816267475028954E-4,-3.66121955043235
9110544,1.261249235016399E-4,-3.899199084166932
9120544,3.910920165354484E-4,-3.4077210493252643
9130543,1.8472770698430244E-4,-3.7334679606077064
9140543,1.8001414150236217E-4,-3.744693376367798
9150542,1.8215557265084968E-4,-3.7395575379302
9160542,2.0753375495218975E-4,-3.682911256073663
9170541,2.615667369518967E-4,-3.5824174854117574
9180541,5.6918490763834484E-6,-5.244746624076657
9190540,6.819350589647253E-5,-4.1662569814669
9200540,2.7901936467954105E-4,-3.5543656544983575
9210539,2.773612147189129E-4,-3.5569542693305833
9220539,3.121307264329449E-6,-5.50566347688596
9230538,2.5645895359959996E-6,-5.590982134067441
9240538,2.0522572134258732E-4,-3.687768209168873
9250537,7.952402303975299E-5,-4.099501657537172
9260537,2.3239373205793137E-4,-3.6337755895750052
9270536,5.947647378353315E-5,-4.225654787657643
9280536,7.901445831626509E-5,-4.102293432855817
9290535,2.295709170443599E-4,-3.63908313093941
9300535,1.1689752828223513E-4,-3.932194671598936
9310534,2.0691191767484652E-5,-4.684214494199595
9320534,3.834724740276292E-5,-4.416265804614471
9330533,2.832191257847543E-4,-3.5478774220899134
9340533,6.31762522442578E-5,-4.19944614098096
9350532,4.039542564286312E-5,-4.393667811387918
9360532,1.3879137901980605E-4,-3.857637509100216
9370531,9.536356121018985E-5,-4.020617539220281
9380531,8.6214463666438E-5,-4.064419869168451
9390530,1.8019385891129933E-4,-3.744260014058299
9400530,5.8646571581657534E-5,-4.231757371215767
9410529,1.3581452382095986E-4,-3.86705378470925
9420529,9.026047394546671E-5,-4.044502390388657
9430528,1.9882337348185657E-4,-3.7015325617017814
9440528,2.004799072625653E-5,-4.697929147244605
9450527,3.1614309990482336E-4,-3.500116292598073
9460527,3.5332524914974774E-5,-4.451825326124195
9470526,2.0203008751595804E-4,-3.694583948033026
9480526,5.112934061458243E-5,-4.291329808081107
9490525,1.730779257205374E-4,-3.761758318312247
9500525,2.3424789383292104E-4,-3.6303243052463845
9510524,1.899946972399404E-5,-4.721258520055436
9520524,2.0586805062954082E-5,-4.686411047806073
9530523,1.1031548746608519E-4,-3.957363511595268
9540523,1.0166112948307208E-4,-3.992845069475528
9550522,8.471423396028246E-5,-4.072043611971064
9560522,7.996199231963922E-5,-4.097116393610372
9570521,3.480473193446187E-7,-6.458361706820082
9580521,1.37230985758096E-4,-3.8625478170228216
9590520,1.5177227650260114E-4,-3.8188075516390305
9600520,7.742145802153104E-5,-4.111138654190624
9610519,3.1137452179047776E-5,-4.506716926445132
9620519,6.181184554669772E-5,-4.2089282892704745
9630518,1.2958445661175944E-4,-3.8874470880686314
9640518,2.6627388963070675E-4,-3.5746714176589065
9650517,1.758259328706259E-4,-3.7549170696945056
9660517,1.8073620598210564E-4,-3.7429548386777283
9670516,3.061214149763416E-5,-4.514106287910869
9680516,2.944226418554821E-4,-3.531028794691924
9690515,2.3286518953870994E-4,-3.632895428258667
9700515,7.358999613063996E-5,-4.133181219909144
9710514,1.0806081459218771E-4,-3.9663317629530446
9720514,2.347453351337864E-4,-3.629403029288837
9730513,2.486665566937717E-5,-4.604382619313879
9740513,1.3385032958745168E-4,-3.873380555087169
9750512,1.0279622191217478E-4,-3.988022846749757
9760512,3.837762971906808E-5,-4.415921851688029
9770511,1.4413457496500335E-5,-4.841231828239544
9780511,8.935337711766218E-5,-4.048889028655274
9790510,1.3220359233004757E-4,-3.8787567437314667
9800510,3.812317881522563E-5,-4.418810893858653
9810509,2.2325952408301962E-4,-3.6511900053689814
9820509,6.232744995806403E-5,-4.205320641306243
9830508,1.1277435810540068E-5,-4.94778963616176
9840508,4.0251170501069594E-5,-4.395221485860977
9850507,8.054038484027889E-5,-4.093986299565808
9860507,7.80029555226322E-5,-4.107888941631918
9870506,7.549835771307745E-5,-4.122062495309957
9880506,1.372742033576052E-4,-3.8624110679493087
9890505,4.6542050706394794E-5,-4.332154485018988
9900505,7.361826141292322E-5,-4.133014443174186
9910504,8.22158808322819E-8,-7.085044285967536
9920504,2.0170857662521254E-4,-3.695275635243787
9930503,8.0798815635664E-5,-4.092595005149492
9940503,1.9369176226528546E-4,-3.7128888494863967
9950502,3.1528738301500516E-4,-3.5012934082454272
9960502,2.651141412744054E-4,-3.5765671062403346
9970501,1.137591240954895E-4,-3.9440137605133954
9980501,5.3305594603301646E-5,-4.273227207899601
9990500,1.0939262039279124E-4,-3.961011974444898
10000500,7.299506459786906E-6,-5.136706502761339
10010499,3.171530310847517E-4,-3.498731133621424
10020499,2.1988475259938458E-4,-3.6578048847435034
10030498,1.7787566034887503E-4,-3.7498834746218392
10040498,1.405932671424303E-4,-3.8520354767052662
10050497,1.721493135051625E-4,-3.7640947048298523
10060497,3.136958744528606E-5,-4.5034911928551375
10070496,4.436990906080281E-5,-4.352911461399109
10080496,3.7766424815732704E-4,-3.4228941260088437
10090495,5.719085863434428E-5,-4.242673383128823
10100495,8.922042164189657E-5,-4.049535728681083
10110494,8.532949835647158E-5,-4.0689008075333835
10120494,1.0449612596481308E-4,-3.980899810062894
10130493,1.2146132855919678E-4,-3.9155619728201367
10140493,5.705717426011911E-5,-4.243689740453662
10150492,2.2011229931811598E-4,-3.65735568949231
10160492,1.3255035152828014E-4,-3.8776191161648383
10170491,4.507422826884347E-5,-4.346071700245093
10180491,1.8677303468082368E-6,-5.7286858247582755
10190490,9.506604878994408E-5,-4.021974556204524
10200490,2.331803432212902E-4,-3.6323080627909694
10210489,3.2383379167926926E-5,-4.489677835094299
10220489,1.1407660264324626E-4,-3.942803421181388
10230488,1.0473098457944243E-4,-3.97992481363021
10240488,1.2375262109037475E-5,-4.907445593905251
10250487,2.12610185992651E-4,-3.6724159325952677
10260487,2.7283327014809107E-4,-3.5641026715496076
